# Format: p, role, resource, action
p, admin, patient_data, read
p, admin, patient_data, write
p, admin, patient_data, delete
p, admin, model_artifacts, read
p, admin, model_artifacts, write

p, ml_engineer, training_data, read
p, ml_engineer, model_artifacts, read
p, ml_engineer, model_artifacts, write
# ml_engineer không có rule cho patient_data/delete → bị chặn bởi deny-by-default
# ml_engineer không có rule cho patient_data/read → không đọc được raw PII

p, data_analyst, aggregated_metrics, read
p, data_analyst, reports, write
# data_analyst không có rule cho patient_data → không đọc được raw PII

p, intern, sandbox_data, read
p, intern, sandbox_data, write
# intern không có rule cho patient_data, training_data, model_artifacts → không access production

# Role inheritance
g, alice, admin
g, bob, ml_engineer
g, carol, data_analyst
g, dave, intern
